voltage,current,sound,gas,temp,hum,heading,tahmin,durum
5.0,13.514,1023.0,1023.0,22.1,60.0,228.57383117348235,1,NORMAL
5.0,13.514,1018.0,1023.0,23.9,54.0,289.9746182583305,1,NORMAL
5.0,13.514,1011.0,1023.0,23.8,56.0,290.96571184055745,-1,ANOMALI
5.0,13.514,1023.0,1023.0,23.3,55.0,240.9525821268369,1,NORMAL
5.0,13.514,1023.0,1023.0,22.6,59.0,225.2921099647843,1,NORMAL
5.0,13.514,1012.0,1023.0,24.1,54.0,228.07104678278856,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,60.0,231.18293016594825,1,NORMAL
5.0,13.514,1011.0,1023.0,24.1,53.0,228.6322742600437,1,NORMAL
5.0,13.514,1523.1704494274004,1023.0,24.0,63.0,228.65222278030632,-1,ANOMALI
5.0,13.514,1023.0,1023.0,22.7,59.0,229.5115754961365,1,NORMAL
5.0,13.514,1023.0,1023.0,23.3,53.0,282.22369078241087,1,NORMAL
5.0,13.514,1017.0,1023.0,23.5,54.0,224.87480912964455,1,NORMAL
5.0,13.514,1014.0,1023.0,24.3,52.0,236.7902681314532,1,NORMAL
5.0,13.514,1000.0,1023.0,23.9,53.0,228.80832166837808,1,NORMAL
5.0,13.514,1023.0,1023.0,23.5,53.0,288.82471001824007,1,NORMAL
5.0,13.514,1012.0,1023.0,22.7,60.0,226.78460274041063,1,NORMAL
5.0,13.514,1023.0,1023.0,22.8,59.0,229.34646394753216,1,NORMAL
5.0,13.514,1013.0,1023.0,23.8,54.0,228.65953114845613,1,NORMAL
5.0,13.514,1016.0,1023.0,24.3,52.0,236.4069780782245,1,NORMAL
5.0,13.514,1014.0,1023.0,23.5,53.0,245.88514925316065,1,NORMAL
5.0,13.514,1017.0,1023.0,22.6,57.0,227.803044564069,1,NORMAL
5.0,13.514,1023.0,1023.0,22.1,62.0,228.3989333711983,1,NORMAL
5.0,13.514,1020.0,1023.0,23.4,51.0,224.13506831783133,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,59.0,230.95753609198053,1,NORMAL
5.0,13.514,1021.0,1023.0,23.2,54.0,236.87719888387812,1,NORMAL
5.0,13.514,911.0,1023.0,22.5,59.0,227.5381213202298,-1,ANOMALI
5.0,13.514,1023.0,1023.0,22.7,59.0,223.92531344648796,1,NORMAL
5.0,13.514,1023.0,1023.0,22.2,60.0,131.05829759062004,1,NORMAL
5.0,13.514,1023.0,1023.0,23.8,55.0,289.68711619812586,1,NORMAL
5.0,13.514,1007.0,1023.0,24.1,53.0,227.34413247406985,1,NORMAL
5.0,13.514,995.0,1023.0,22.5,59.0,227.99034497516536,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,59.0,229.82181735750964,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,58.0,228.6256936831561,1,NORMAL
5.0,13.514,1023.0,1023.0,22.1,61.0,228.5003290635568,1,NORMAL
5.0,13.514,1023.0,1023.0,22.8,58.0,228.8424531279149,1,NORMAL
5.0,13.514,1023.0,1023.0,22.3,61.0,228.39492354211825,1,NORMAL
5.0,13.514,1023.0,1023.0,22.2,61.0,229.00377781647737,1,NORMAL
5.0,13.514,1015.0,1023.0,23.2,54.0,240.56921689533849,1,NORMAL
5.0,13.514,1010.0,1023.0,22.8,55.0,226.7384755798588,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,59.0,229.20535700170856,1,NORMAL
5.0,13.514,1019.0,1023.0,22.7,59.0,229.1458456861128,1,NORMAL
5.0,13.514,1015.0,1023.0,23.5,55.0,225.16487948591555,1,NORMAL
5.0,13.514,1012.0,1023.0,22.7,58.0,228.92055161026363,1,NORMAL
